id,company_name,slug,logo_url,website,founded_year,headquarters_country,headquarters_city,company_type,funding_stage,total_funding_usd,employees_range,primary_category,sub_categories,products,key_technologies,target_customers,business_model,notable_investors,parent_company,subsidiaries,partnerships,competitors,integrations,acquired_by,acquisitions_made,status,description_en,linkedin_url,twitter_url,github_url,crunchbase_url,last_updated
1,OpenAI,open-ai,https://logo.clearbit.com/openai.com,https://openai.com,2015,United States,San Francisco,research_lab,series_d+,11300000000,5000+,foundation_model,llm|chatbot|code_generation|multimodal|image_generation,ChatGPT|GPT-4o|DALL-E 3|Sora|Whisper|Embeddings API,transformer|rlhf|multimodal|reinforcement_learning,enterprise|developer|consumer,saas|api|licensing,Microsoft|Khosla Ventures|Tiger Global|a16z,,Microsoft,microsoft|anthropic|google-deepmind,anthropic|google-deepmind|meta-ai|mistral|cohere,microsoft|langchain|llamaindex|weights-and-biases|hugging-face,,global-illumination|codex,active,Leading AI research company behind ChatGPT and GPT-4. Develops frontier language models and multimodal AI systems for broad commercial use.,https://linkedin.com/company/openai,https://twitter.com/openai,https://github.com/openai,https://crunchbase.com/organization/openai,2026-05-01
2,Anthropic,anthropic,https://logo.clearbit.com/anthropic.com,https://anthropic.com,2021,United States,San Francisco,research_lab,series_d+,7700000000,1001-5000,foundation_model,llm|safety|constitutional_ai|multimodal,Claude 3.5 Sonnet|Claude 3 Opus|Claude API|Claude.ai,transformer|rlhf|constitutional_ai|multimodal,enterprise|developer|consumer,saas|api,Google|Amazon|Spark Capital|Salesforce Ventures,,amazon|google,open-ai|google-deepmind|amazon,open-ai|google-deepmind|meta-ai|mistral|cohere,amazon|google|langchain|llamaindex,,,active,AI safety company building reliable and interpretable AI. Creator of the Claude family of models with a focus on safe and beneficial AI.,https://linkedin.com/company/anthropic,https://twitter.com/anthropic_ai,https://github.com/anthropic-ai,https://crunchbase.com/organization/anthropic,2026-05-01
3,Google DeepMind,google-deepmind,https://logo.clearbit.com/deepmind.com,https://deepmind.google,2010,United Kingdom,London,research_lab,public,0,5000+,foundation_model,llm|multimodal|reinforcement_learning|scientific_ai,Gemini 1.5 Pro|Gemini Ultra|AlphaFold|Gemma|Imagen,transformer|rlhf|multimodal|alphago|diffusion,enterprise|developer|researcher,api|licensing|saas,Alphabet,alphabet,alphabet,open-ai|anthropic|microsoft,open-ai|anthropic|meta-ai|mistral,google-cloud|hugging-face,,deepmind,active,Google's consolidated AI research lab. Develops Gemini models AlphaFold and foundational AI research pushing the frontier of artificial intelligence.,https://linkedin.com/company/deepmind,https://twitter.com/googledeepmind,https://github.com/google-deepmind,https://crunchbase.com/organization/deepmind,2026-05-01
4,Meta AI,meta-ai,https://logo.clearbit.com/meta.com,https://ai.meta.com,2013,United States,Menlo Park,research_lab,public,0,5000+,foundation_model,llm|multimodal|open_source|image_generation,Llama 3|Llama 3.1|ImageBind|SAM|SeamlessM4T,transformer|multimodal|open_source,developer|researcher|enterprise,open_source,Meta,meta-platforms,meta-platforms,open-ai|google-deepmind|mistral,open-ai|google-deepmind|anthropic|mistral|cohere,hugging-face|langchain|llamaindex,,,active,Meta's AI research division. Develops and open-sources Llama models and advances multimodal and foundational AI research across Meta's platforms.,https://linkedin.com/company/meta-ai,https://twitter.com/MetaAI,https://github.com/facebookresearch,https://crunchbase.com/organization/meta-ai,2026-05-01
5,Mistral AI,mistral,https://logo.clearbit.com/mistral.ai,https://mistral.ai,2023,France,Paris,startup,series_b,1070000000,201-500,foundation_model,llm|open_source|code_generation|mixture_of_experts,Mistral Large|Mistral 7B|Mixtral 8x7B|Mistral Nemo|Le Chat,transformer|mixture_of_experts|open_source,developer|enterprise|researcher,api|open_source|saas,a16z|Lightspeed|General Catalyst|BNP Paribas,,,open-ai|anthropic|google-deepmind|cohere,open-ai|google-deepmind|meta-ai|cohere,hugging-face|langchain|azure-ai,,,active,European AI company building open and efficient large language models. Known for Mixtral MoE architecture and commitment to open-weight model releases.,https://linkedin.com/company/mistral-ai,https://twitter.com/MistralAI,https://github.com/mistralai,https://crunchbase.com/organization/mistral-ai,2026-05-01
6,xAI,x-ai,https://logo.clearbit.com/x.ai,https://x.ai,2023,United States,San Francisco,startup,series_b,6000000000,501-1000,foundation_model,llm|chatbot|real_time_information,Grok 2|Grok 3|Aurora,transformer|rlhf|real_time_data,consumer|enterprise|developer,saas|api,Elon Musk|Valor Equity Partners|Vy Capital,,,open-ai|anthropic|google-deepmind,open-ai|anthropic|google-deepmind|meta-ai,x-twitter,,,active,AI company founded by Elon Musk developing Grok LLMs with real-time web access. Integrated into X platform with focus on truth-seeking AI.,https://linkedin.com/company/x-ai,https://twitter.com/xai,https://github.com/xai-org,https://crunchbase.com/organization/x-ai,2026-05-01
7,Cohere,cohere,https://logo.clearbit.com/cohere.com,https://cohere.com,2019,Canada,Toronto,scaleup,series_d+,970000000,501-1000,foundation_model,llm|embeddings|rag|enterprise_ai,Command R+|Command R|Embed|Rerank|Aya,transformer|rag|embeddings,enterprise|developer,api|saas,Tiger Global|Oracle|Salesforce|Nvidia,,oracle,open-ai|anthropic|google-deepmind|mistral,open-ai|anthropic|mistral|ai21,langchain|llamaindex|aws-bedrock|azure-ai,,,active,Enterprise-focused AI company offering Command language models embeddings and reranking for production RAG systems and business applications.,https://linkedin.com/company/cohere-ai,https://twitter.com/cohere,https://github.com/cohere-ai,https://crunchbase.com/organization/cohere,2026-05-01
8,AI21 Labs,ai21,https://logo.clearbit.com/ai21.com,https://ai21.com,2017,Israel,Tel Aviv,scaleup,series_c,336000000,201-500,foundation_model,llm|writing_assistant|rag,Jamba|Jamba 1.5|Wordtune,transformer|mamba|state_space_model,enterprise|developer|consumer,saas|api,Google|Pitango|TPY Capital,,,open-ai|cohere|anthropic,open-ai|cohere|anthropic|mistral,aws-bedrock|azure-ai|google-cloud,,,active,Israeli AI company developing Jamba hybrid SSM-Transformer models and Wordtune writing assistant for enterprise and consumer use cases.,https://linkedin.com/company/ai21-labs,https://twitter.com/AI21Labs,https://github.com/AI21Labs,https://crunchbase.com/organization/ai21-labs,2026-05-01
9,Inflection AI,inflection-ai,https://logo.clearbit.com/inflection.ai,https://inflection.ai,2022,United States,Palo Alto,scaleup,series_b,1525000000,51-200,foundation_model,llm|conversational_ai|emotional_intelligence,Pi,transformer|rlhf,consumer,saas,Microsoft|Reid Hoffman|Eric Schmidt|Nvidia,,,open-ai|anthropic|character-ai,open-ai|anthropic|google-deepmind,,,microsoft,,active,AI company building Pi a personal intelligence assistant focused on empathetic conversation. Key team members joined Microsoft to form Microsoft AI.,https://linkedin.com/company/inflection-ai,https://twitter.com/inflectionai,https://github.com/inflection-ai,https://crunchbase.com/organization/inflection-ai,2026-05-01
10,Stability AI,stability-ai,https://logo.clearbit.com/stability.ai,https://stability.ai,2019,United Kingdom,London,scaleup,series_a,101000000,201-500,foundation_model,image_generation|open_source|audio|video|3d,Stable Diffusion 3|SDXL|Stable Audio|Stable Video,diffusion|latent_diffusion|open_source,developer|consumer|enterprise,api|open_source|saas,Coatue|Lightspeed,,,midjourney|open-ai|adobe,midjourney|runway|adobe-firefly,hugging-face|replicate,,,active,Open-source generative AI company behind Stable Diffusion. Develops image video audio and 3D generation models for creators and developers.,https://linkedin.com/company/stability-ai,https://twitter.com/stabilityai,https://github.com/Stability-AI,https://crunchbase.com/organization/stability-ai,2026-05-01
11,Microsoft,microsoft,https://logo.clearbit.com/microsoft.com,https://microsoft.com,1975,United States,Redmond,enterprise,public,0,5000+,infrastructure,cloud|llm|productivity|developer_tools,Azure AI|Copilot|GitHub Copilot|Bing AI|Azure OpenAI Service,transformer|cloud|rlhf,enterprise|developer|consumer,saas|cloud|licensing,public,,,open-ai|inflection-ai,google|amazon|oracle,open-ai|anthropic|hugging-face|langchain,google|amazon|oracle,azure-ai,open-ai,activision-blizzard|nuance,active,Global technology giant deeply invested in AI through Azure cloud services Microsoft Copilot and major partnership with OpenAI across products.,https://linkedin.com/company/microsoft,https://twitter.com/Microsoft,https://github.com/microsoft,https://crunchbase.com/organization/microsoft,2026-05-01
12,Azure AI,azure-ai,https://logo.clearbit.com/azure.microsoft.com,https://azure.microsoft.com/en-us/solutions/ai,2017,United States,Redmond,enterprise,public,0,5000+,infrastructure,cloud_ai|model_hosting|mlops|cognitive_services,Azure OpenAI Service|Azure ML|Cognitive Services|Azure AI Search,cloud|transformer|mlops,enterprise|developer,cloud|saas|api,public,microsoft,,open-ai|anthropic|mistral|cohere,google-cloud|aws-bedrock,open-ai|anthropic|mistral|cohere|hugging-face,google-cloud|aws-bedrock,,,active,Microsoft's cloud AI platform offering hosted models MLOps tooling and cognitive APIs. Primary distribution channel for OpenAI models in enterprise.,https://linkedin.com/company/microsoft,https://twitter.com/AzureAI,https://github.com/azure,https://crunchbase.com/organization/microsoft,2026-05-01
13,Amazon Web Services,aws-bedrock,https://logo.clearbit.com/aws.amazon.com,https://aws.amazon.com/bedrock,2006,United States,Seattle,enterprise,public,0,5000+,infrastructure,cloud_ai|model_hosting|mlops|vector_db,Amazon Bedrock|SageMaker|Trainium|Inferentia|Titan,cloud|transformers|custom_silicon,enterprise|developer,cloud|api|saas,public,amazon,,anthropic|cohere|ai21|mistral,google-cloud|azure-ai,anthropic|cohere|ai21|mistral|stability-ai,google-cloud|azure-ai|microsoft,,,active,Amazon's cloud AI platform offering Bedrock model marketplace SageMaker MLOps and custom Trainium and Inferentia AI chips for enterprise workloads.,https://linkedin.com/company/amazon-web-services,https://twitter.com/awscloud,https://github.com/aws,https://crunchbase.com/organization/amazon-web-services,2026-05-01
14,Google Cloud,google-cloud,https://logo.clearbit.com/cloud.google.com,https://cloud.google.com/vertex-ai,2008,United States,Mountain View,enterprise,public,0,5000+,infrastructure,cloud_ai|model_hosting|mlops|tpu,Vertex AI|Gemini API|TPU|BigQuery ML|NotebookLM,cloud|tpu|transformer|mlops,enterprise|developer,cloud|api|saas,public,alphabet,,google-deepmind,azure-ai|aws-bedrock,google-deepmind|anthropic|mistral|hugging-face,azure-ai|aws-bedrock|microsoft,,,active,Google's cloud AI platform featuring Vertex AI for model deployment TPUs for training and the Gemini API for accessing Google's foundation models.,https://linkedin.com/company/google-cloud,https://twitter.com/googlecloud,https://github.com/googleapis,https://crunchbase.com/organization/google,2026-05-01
15,Hugging Face,hugging-face,https://logo.clearbit.com/huggingface.co,https://huggingface.co,2016,United States,New York,scaleup,series_d+,395000000,201-500,developer_tools,model_hub|open_source|datasets|inference|spaces,Hub|Transformers|Inference Endpoints|Spaces|Datasets,open_source|transformer|diffusion,developer|researcher|enterprise,saas|open_source|api,Salesforce|Google|Amazon|Nvidia|a16z,,,open-ai|google-deepmind,open-ai|google-deepmind|meta-ai|stability-ai,open-ai|meta-ai|stability-ai|langchain|llamaindex|replicate|together-ai,aws-bedrock|azure-ai|google-cloud,,,active,Open-source AI community and model hub hosting 500k+ models datasets and Spaces demos. Central infrastructure for the ML research ecosystem.,https://linkedin.com/company/hugging-face,https://twitter.com/huggingface,https://github.com/huggingface,https://crunchbase.com/organization/hugging-face,2026-05-01
16,LangChain,langchain,https://logo.clearbit.com/langchain.com,https://langchain.com,2022,United States,San Francisco,startup,series_a,35000000,51-200,developer_tools,agent_framework|rag|llm_orchestration,LangChain|LangSmith|LangGraph|LangServe,llm_orchestration|rag|agents,developer|enterprise,open_source|saas,Benchmark|Sequoia|Balderton,,,llamaindex|haystack,llamaindex|haystack|autogen,open-ai|anthropic|google-deepmind|mistral|cohere|hugging-face,aws-bedrock|azure-ai|google-cloud,,,active,Open-source LLM application framework enabling developers to build RAG pipelines agents and complex AI workflows with 200+ integrations.,https://linkedin.com/company/langchain,https://twitter.com/LangChainAI,https://github.com/langchain-ai,https://crunchbase.com/organization/langchain,2026-05-01
17,LlamaIndex,llamaindex,https://logo.clearbit.com/llamaindex.ai,https://llamaindex.ai,2022,United States,San Francisco,startup,series_a,18500000,51-200,developer_tools,rag|llm_orchestration|data_connectors|agent_framework,LlamaIndex|LlamaCloud|LlamaParse,rag|llm_orchestration|agents,developer|enterprise,open_source|saas,Greylock|Gradient Ventures,,,langchain|haystack,langchain|haystack|autogen,open-ai|anthropic|google-deepmind|mistral|hugging-face,aws-bedrock|azure-ai|google-cloud,,,active,Data framework for building LLM applications over custom data. Specializes in RAG ingestion pipelines indexing and retrieval for production AI apps.,https://linkedin.com/company/llamaindex,https://twitter.com/llama_index,https://github.com/run-llama,https://crunchbase.com/organization/llamaindex,2026-05-01
18,Weights & Biases,weights-and-biases,https://logo.clearbit.com/wandb.ai,https://wandb.ai,2017,United States,San Francisco,scaleup,series_c,250000000,201-500,developer_tools,mlops|experiment_tracking|model_monitoring|llm_evaluation,W&B Platform|Weave|W&B Sweeps|W&B Artifacts,mlops|experiment_tracking|llm_evaluation,developer|researcher|enterprise,saas,ICONIQ Growth|Coatue|Insight Partners,,,mlflow|neptune-ai,mlflow|neptune-ai|comet-ml,open-ai|anthropic|google-deepmind|hugging-face,aws-bedrock|azure-ai|google-cloud,,,active,MLOps platform for experiment tracking model monitoring and dataset versioning. Used by over 1000 organizations for managing AI model development.,https://linkedin.com/company/weights-biases,https://twitter.com/weights_biases,https://github.com/wandb,https://crunchbase.com/organization/weights-biases,2026-05-01
